,Genre,ID,popularity,is_exp,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
837,pop,0rTV5WefWd1J3OwIheTzxM,94,False,Talk,Khalid,0.9,0.4,0,-8.443,1,0.124,0.0501,0.0,0.0876,0.338,136.001,4
838,pop,7COXchtUOMd6uIT6HvmRaI,95,False,i'm so tired...,Lauv,0.599,0.733,11,-7.058,1,0.203,0.176,0.0,0.242,0.534,102.211,4
839,pop,6xtcFXSo8H9BZN637BMVKS,85,False,Let You Love Me,Rita Ora,0.531,0.854,10,-3.149,1,0.198,0.288,0.0,0.0773,0.456,94.419,4
840,pop,2n48BjaFSczfeIG3HaIaPv,83,False,Just You and I,Tom Walker,0.567,0.696,9,-5.416,1,0.301,0.456,0.0,0.113,0.544,92.061,4
841,pop,5JEx7HbmvHQQswJCsoo9rA,91,True,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,0.574,0.758,1,-5.029,0,0.0621,0.0969,0.0,0.395,0.492,144.111,4
842,pop,3O4DdB07AoPwvy1fsIToiT,60,False,Forever Right Now,Conor Matthews,0.753,0.679,5,-4.792,1,0.0569,0.139,0.0,0.148,0.688,117.961,4
843,pop,6Qs4SXO9dwPj5GKvVOv8Ki,96,False,Dancing With A Stranger (with Normani),Sam Smith,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,4
844,pop,11cDEev79fPKi6uJCjUhu8,92,True,Who Do You Love (with 5 Seconds of Summer),The Chainsmokers,0.51,0.835,3,-4.673,1,0.0447,0.00791,0.0,0.219,0.435,140.024,4
845,pop,1tNJrcVe6gwLEiZCtprs1u,84,False,3 Nights,Dominic Fike,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891,4
846,pop,2EdT0divbyKeaurz7KgPm1,75,False,Remember (with ZOHARA),Gryffin,0.619,0.901,11,-4.173,0,0.0563,0.0975,0.0455,0.178,0.503,123.002,4
847,pop,6zeeWid2sgw4lap2jV61PZ,88,False,Better,Khalid,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4
848,pop,0RGRiqQSmeflIeWBgf4u5a,65,False,Rainbow,Kacey Musgraves,0.617,0.195,10,-7.632,1,0.0341,0.89,0.0,0.108,0.344,65.542,4
849,pop,4J4zx8xGJpuGndrVc06KaT,79,False,Diamond Heart,Alan Walker,0.499,0.638,0,-6.145,1,0.0438,0.129,0.0,0.631,0.253,89.98,4
850,pop,68dd9CEzAUc4zeukKzMJP5,66,True,Broken (feat. Jessie Reyez),THEY.,0.637,0.615,9,-5.395,1,0.167,0.685,8.51e-06,0.462,0.517,132.312,3
851,pop,5itOtNx0WxtJmi1TQ3RuRd,94,False,Giant (with Rag'n'Bone Man),Calvin Harris,0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,122.015,4
852,pop,4kV4N9D1iKVxx1KLvtTpjS,98,True,"break up with your girlfriend, i'm bored",Ariana Grande,0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.999,4
853,pop,1pfgsjmxVZhoZpeDx6POKv,84,False,Bones (feat. OneRepublic),Galantis,0.66,0.788,0,-5.844,1,0.0374,0.00464,0.0,0.179,0.494,120.048,4
854,pop,75iZaRMctH8FamTOhokRVJ,68,False,Faking It,Sasha Sloan,0.647,0.371,1,-8.645,0,0.0575,0.32,0.0,0.205,0.243,81.094,4
855,pop,04FG3jfxbSViVX9GYItO4n,60,True,Splash,Ty James,0.6,0.678,1,-5.363,1,0.0331,0.015,0.0,0.0707,0.459,134.077,4
856,pop,5DvrajonsSpOSkoNo9wWFY,55,False,Just A Little Crush,Malia Civetz,0.62,0.73,1,-9.659,0,0.0702,0.138,1.55e-05,0.111,0.427,120.035,4
857,pop,3mJiMnKrpIYSNRRFounMtY,64,False,What A Time (feat. Niall Horan),Julia Michaels,0.538,0.463,0,-6.185,1,0.0295,0.652,0.0,0.087,0.376,132.944,4
858,pop,43tgC5pTYJpc5D3C9HRwEg,62,True,Slow Down (with Calvin Harris),Normani,0.853,0.693,0,-4.337,1,0.0524,0.0855,7.16e-05,0.11,0.547,124.049,4
859,pop,0qHDvcNrE250rjDiDaN80q,53,False,Done,Nikki Vianna,0.617,0.63,7,-5.657,0,0.105,0.437,0.0,0.144,0.822,95.332,4
860,pop,19czqg2sES22uiWenXX9dk,68,True,You Don't Know Me,Peter Manos,0.742,0.362,1,-11.661,1,0.196,0.6,2.47e-05,0.212,0.331,123.986,4
861,pop,5sdb5pMhcK44SSLsj1moUh,80,False,I Found You (with Calvin Harris),benny blanco,0.775,0.872,6,-4.194,1,0.0469,0.033,0.0579,0.298,0.379,122.994,4
862,pop,3qLBz3j26AHO2jBYUQWLA6,79,False,Woke Up Late (feat. Hailee Steinfeld),Drax Project,0.698,0.66,2,-5.429,0,0.083,0.043,0.0,0.186,0.351,119.214,4
863,pop,2Uu1hqObahlzFDbZqjC6CR,60,False,Oh Dreamer,The Brilliance,0.524,0.627,9,-7.246,0,0.0885,0.0211,9.84e-06,0.19,0.53,195.729,4
864,pop,3WVhkjB7Y4xFruqoCAajBb,80,False,Sue Me,Sabrina Carpenter,0.46,0.809,6,-5.415,1,0.326,0.0422,5.04e-05,0.138,0.609,157.184,4
865,pop,4rxjhwPXkUyRAkMvQbVpZK,58,False,Give Me,Boy In Space,0.588,0.391,9,-9.815,1,0.152,0.226,0.0,0.0636,0.235,134.081,4
866,pop,3y5B5ebFMzEEFqCPOesAXR,77,False,GIRL,Maren Morris,0.44,0.793,6,-3.95,1,0.0502,0.0677,0.0,0.0788,0.447,143.599,4
867,pop,30VHURM5NOfoZmqp2iKawS,75,False,Butterflies,Kacey Musgraves,0.689,0.614,4,-6.137,0,0.0306,0.252,1.95e-05,0.178,0.411,141.97,4
868,pop,6EelrDeZGS0Z81NhXevtrJ,76,False,Lost Without You,Freya Ridings,0.409,0.137,6,-9.169,1,0.0446,0.928,0.0,0.0706,0.106,162.08,1
869,pop,43zdsphuZLzwA9k4DJhU0I,90,False,when the party's over,Billie Eilish,0.454,0.111,4,-14.038,1,0.0635,0.978,5.89e-05,0.0898,0.187,124.155,3
870,pop,6UQZzOEKyclOo7SRXQpMM3,63,False,Stupid Deep,Jon Bellion,0.362,0.377,2,-9.713,1,0.0339,0.732,0.000631,0.127,0.294,137.891,4
871,pop,09yhMTRqQ1I1dniu3PoIQi,75,True,Don't Kill My High,Lost Kings,0.674,0.932,8,-4.876,1,0.0718,0.0363,0.0,0.0576,0.826,144.039,4
872,pop,4ve2uzqdwnHr20G5YgMMqr,83,True,Missin You Crazy,Russ,0.716,0.729,5,-6.313,1,0.117,0.0991,0.0,0.0842,0.276,131.975,4
873,pop,7jr3iPu4O4bTCVwLMbdU2i,86,False,Kiss and Make Up,Dua Lipa,0.678,0.729,8,-4.188,1,0.137,0.0658,0.0,0.303,0.643,99.895,4
874,pop,0dbp9YwlGEzXmxavRMgZ4T,70,True,LA On A Saturday Night,Hearts & Colors,0.592,0.588,10,-4.889,1,0.0405,0.118,0.0,0.138,0.336,81.997,4
875,pop,2Pph0CUJ8uksCBzV6iyuQF,68,False,Lost,Blake Rose,0.595,0.687,4,-6.536,1,0.0486,0.216,0.0,0.107,0.508,94.73,4
876,pop,5p7ujcrUXASCNwRaWNHR1C,96,True,Without Me,Halsey,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4
